,time,open,high,low,close,tickvol,vol
476,2020-10-07 11:00:00,95670,95705,94885,94980,250324,1015302
477,2020-10-07 11:15:00,94975,95090,94760,94970,145798,566084
478,2020-10-07 11:30:00,94970,95205,94840,95165,135438,556199
479,2020-10-07 11:45:00,95165,95535,95140,95435,144431,640127
480,2020-10-07 12:00:00,95440,95920,95430,95715,141933,575014
481,2020-10-07 12:15:00,95710,95725,95445,95640,116424,464505
482,2020-10-07 12:30:00,95640,95775,95415,95560,99223,414675
483,2020-10-07 12:45:00,95565,95630,95320,95585,86092,328766
484,2020-10-07 13:00:00,95585,96020,95575,95930,96242,361140
485,2020-10-07 13:15:00,95930,95985,95680,95755,98560,366016
486,2020-10-07 13:30:00,95760,95890,95560,95605,77368,280092
487,2020-10-07 13:45:00,95600,95700,95470,95560,74666,301870
488,2020-10-07 14:00:00,95555,95570,95210,95395,102376,387461
489,2020-10-07 14:15:00,95395,95505,95305,95460,72484,267522
490,2020-10-07 14:30:00,95455,96000,95435,95960,110215,408570
491,2020-10-07 14:45:00,95955,96435,95940,96140,161049,640055
492,2020-10-07 15:00:00,96145,96285,96070,96130,74842,281846
493,2020-10-07 15:15:00,96130,96250,95960,96075,97222,393134
494,2020-10-07 15:30:00,96070,96105,95880,95995,71974,300374
495,2020-10-07 15:45:00,96000,96100,95915,95930,60047,258457
496,2020-10-07 16:00:00,95930,96055,95835,96030,77653,344537
497,2020-10-07 16:15:00,96030,96120,95935,96030,62593,256205
498,2020-10-07 16:30:00,96025,96030,95470,95575,121964,497551
499,2020-10-07 16:45:00,95580,95750,95440,95450,73718,309845
500,2020-10-07 17:00:00,95455,95560,95375,95490,60808,243183
501,2020-10-07 17:15:00,95485,95580,95435,95490,26723,92871
502,2020-10-07 17:30:00,95485,95570,95455,95515,25406,96655
503,2020-10-07 17:45:00,95515,95790,95495,95790,21553,68044
504,2020-10-08 09:00:00,96175,96215,95820,95995,105447,295057
505,2020-10-08 09:15:00,96000,96135,95930,96005,75070,221282
506,2020-10-08 09:30:00,96005,96045,95705,95830,113762,335886
507,2020-10-08 09:45:00,95825,95860,95735,95790,50763,165575
508,2020-10-08 10:00:00,95795,95925,95645,95705,154337,518406
509,2020-10-08 10:15:00,95705,95985,95575,95635,163669,547578
510,2020-10-08 10:30:00,95640,96120,95535,95795,240627,824607
511,2020-10-08 10:45:00,95795,96120,95760,95920,139427,500121
512,2020-10-08 11:00:00,95925,96475,95720,96405,196943,687847
513,2020-10-08 11:15:00,96400,96795,96375,96540,183479,653380
514,2020-10-08 11:30:00,96535,96770,96345,96400,134837,467033
515,2020-10-08 11:45:00,96400,96610,96315,96455,113703,409013
516,2020-10-08 12:00:00,96455,96560,96335,96365,74468,264225
517,2020-10-08 12:15:00,96370,96555,96240,96485,105923,381993
518,2020-10-08 12:30:00,96485,97295,96415,97115,172948,620426
519,2020-10-08 12:45:00,97115,97260,97050,97215,90098,357693
520,2020-10-08 13:00:00,97215,97355,96925,97000,100519,380942
521,2020-10-08 13:15:00,96995,97110,96815,96875,66770,244862
522,2020-10-08 13:30:00,96870,97085,96840,97060,65912,242561
523,2020-10-08 13:45:00,97065,97280,97045,97205,75663,276749
524,2020-10-08 14:00:00,97200,97315,97075,97130,73325,272394
525,2020-10-08 14:15:00,97125,97310,97020,97210,73974,281564
526,2020-10-08 14:30:00,97215,97220,96980,97095,69410,259248
527,2020-10-08 14:45:00,97095,97280,97035,97255,63488,244662
528,2020-10-08 15:00:00,97260,97590,97230,97545,128905,488522
529,2020-10-08 15:15:00,97550,97740,97500,97640,87997,350867
